tranche,file,sha256,bytes,pages,source,origin,level,result,code,ms,out_bytes,verified
pdfjs,160F-2019.pdf,f41f0818365ffd14ca4e55c0556355193bd76632b970d60cc2dec554cac6f379,328400,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/160F-2019.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/160F-2019.pdf,2b,converted,,82,304599,pass
pdfjs,22060_A1_01_Plans.pdf,bd0203ede39cfe101c7d1ea6555e1c9fc408247627a47de549ebf2590f1b887b,6264322,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/22060_A1_01_Plans.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/22060_A1_01_Plans.pdf,2b,converted,,104,6273128,
pdfjs,90ms_rksj_h_sample.pdf,d50ad3b93685e9d6061f5cc9957c49ca232a0dd0771aad71e4a615f87f2674be,1039,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/90ms_rksj_h_sample.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/90ms_rksj_h_sample.pdf,2b,converted,,434,58124,
pdfjs,ArabicCIDTrueType.pdf,1cad1de912ba29f89a6d8b08bc5b0f84382874ffedab2c8f9e05ef608c265bb1,39370,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ArabicCIDTrueType.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ArabicCIDTrueType.pdf,2b,converted,,74,47658,
pdfjs,Brotli-Prototype-FileA.pdf,88d7f8b3f6e8cb26fdde69bbcd27990f2f61f807472afce7b5dbe2ae8f4f3ff7,1305278,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Brotli-Prototype-FileA.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Brotli-Prototype-FileA.pdf,2b,rejected,PARSE_ERROR,46,0,
pdfjs,ContentStreamCycleType3insideType3.pdf,131aec277c444c985d502e5f589f37735d275a8ea247c1beedba0781fbe99d40,2440,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ContentStreamCycleType3insideType3.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ContentStreamCycleType3insideType3.pdf,2b,converted,,57,135485,
pdfjs,ContentStreamNoCycleType3insideType3.pdf,cffddca28e1b55dba97257a3045bfc83f6daf800dcecbed58697057d493f5dd6,2440,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ContentStreamNoCycleType3insideType3.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ContentStreamNoCycleType3insideType3.pdf,2b,converted,,17,135485,
pdfjs,Embedded_font.pdf,4b7588e070cd37c7cfa2ce0a493ba9ec6d57fb36a2ca3c6ab50c74a7818a2f9a,3323,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Embedded_font.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Embedded_font.pdf,2b,converted,,18,14036,
pdfjs,GHOSTSCRIPT-698804-1-fuzzed.pdf,62e518ca7894e8b8b8ed9927da3007cdc5e9ccc5b111bbb22d6101d4a8d7490e,627,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/GHOSTSCRIPT-698804-1-fuzzed.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/GHOSTSCRIPT-698804-1-fuzzed.pdf,2b,converted,,11,12072,
pdfjs,IdentityToUnicodeMap_charCodeOf.pdf,81243ff4cca5f7898688008224247d88534cd03e76ac3cbbdc38f925cfbee18f,651,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/IdentityToUnicodeMap_charCodeOf.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/IdentityToUnicodeMap_charCodeOf.pdf,2b,converted,,23,141802,
pdfjs,IndexedCS_negative_and_high.pdf,818053a2bf343f31f4ad0b48eb2837eb3b43a4543c9feb6269a9f653fbcee59e,1798,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/IndexedCS_negative_and_high.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/IndexedCS_negative_and_high.pdf,2b,converted,,9,12433,
pdfjs,PDFBOX-3148-2-fuzzed.pdf,1c780335b494ac52eae9fa4d05f1bba88c18ca6b24e6e302b9f271de05e256aa,244351,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFBOX-3148-2-fuzzed.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFBOX-3148-2-fuzzed.pdf,2b,converted,,22,135616,pass
pdfjs,PDFBOX-4352-0.pdf,ede76ce3aaa8a5d9da0e6f7fadce8470083be748035da6db08ede9ea34813f40,1481,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFBOX-4352-0.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFBOX-4352-0.pdf,2b,rejected,PARSE_ERROR,8,0,
pdfjs,PDFJS-7562-reduced.pdf,86fc03927aa3e1b216910de7b98c51aa42bab9baa359219ff4f422133188ed98,13653,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFJS-7562-reduced.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFJS-7562-reduced.pdf,2b,converted,,16,21051,
pdfjs,PDFJS-9279-reduced.pdf,b3067f37e7b2ea17ac0cc547644c32f77174d2d409106893a939b702b0bde617,3090252,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFJS-9279-reduced.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/PDFJS-9279-reduced.pdf,2b,converted,,144,1457068,
pdfjs,Pages-tree-refs.pdf,77c8817ea016296ea59e0991ea1a6d1440ef2480cdcd9acb59106938b649233f,1098,2,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Pages-tree-refs.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/Pages-tree-refs.pdf,2b,rejected,PARSE_ERROR,9,0,
pdfjs,REDHAT-1531897-0.pdf,f468fc2f922bb179f3cb9994c9476fb1840445fe6deb6cdcca42244ab0218786,871,,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/REDHAT-1531897-0.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/REDHAT-1531897-0.pdf,2b,rejected,PARSE_ERROR,7,0,
pdfjs,S2.pdf,57d874f2760ded2b70eb58b7b5e31df407d5641b7225576b77458b5dc5009543,478490,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/S2.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/S2.pdf,2b,converted,,161,1966351,
